current,mAh,voltage,trading,timestamp
10.3,16.7,6.3,False,2024-03-10 21:15:23
10.3,16.7,6.3,False,2024-03-10 21:15:23
10.3,16.7,6.3,False,2024-03-10 21:15:24
10.3,16.7,6.3,False,2024-03-10 21:15:26
10.3,16.7,6.3,False,2024-03-10 21:15:26
10.3,16.7,6.3,False,2024-03-10 21:15:27
10.3,16.7,6.3,False,2024-03-10 21:15:27
10.3,16.7,6.3,False,2024-03-10 21:15:36
10.3,16.7,6.3,False,2024-03-10 21:15:37
10.3,16.7,6.3,False,2024-03-10 21:15:37
10.3,16.7,6.3,False,2024-03-10 21:15:38
10.3,16.7,6.3,False,2024-03-10 21:15:38
10.3,16.7,6.3,False,2024-03-10 21:15:39
10.3,16.7,6.3,False,2024-03-10 21:15:39
10.3,16.7,6.3,False,2024-03-10 21:15:40
10.3,16.7,6.3,False,2024-03-10 21:15:40
10.3,16.7,6.3,False,2024-03-10 21:15:41
10.3,16.7,6.3,False,2024-03-10 21:15:41
10000,10000,10000,False,2024-03-10 22:03:12
10000,10000,10000,False,2024-03-10 22:03:13
10000,10000,10000,False,2024-03-10 22:03:14
10000,10000,10000,False,2024-03-10 22:03:15
10000,10000,10000,False,2024-03-10 22:03:15
10000,10000,10000,False,2024-03-10 22:03:15
10000,2,10000,False,2024-03-10 22:25:13
10000,2,10000,False,2024-03-10 22:25:14
10000,2,10000,False,2024-03-10 22:25:16
10000,2,10000,False,2024-03-10 22:25:16
10000,2,10000,False,2024-03-10 22:25:17
10000,2,10000,False,2024-03-10 22:25:17
10000,2,10000,False,2024-03-10 22:25:18
10000,2,10000,False,2024-03-10 22:25:18
10000,2,10000,False,2024-03-10 22:25:19
10000,2,10000,False,2024-03-10 22:25:19
10000,2000,10000,False,2024-03-10 22:26:40
10000,2000,10000,False,2024-03-10 22:26:40
10000,2000,10000,False,2024-03-10 22:26:41
10000,2000,10000,False,2024-03-10 22:26:41
10000,2000,10000,False,2024-03-10 22:26:42
10000,2000,10000,False,2024-03-10 22:26:43
10000,10000,10000,False,2024-03-10 22:41:33
10000,10000,10000,False,2024-03-10 22:41:34
10000,10000,10000,False,2024-03-10 22:41:35
10000,10000,10000,False,2024-03-10 22:41:35
10000,10000,10000,False,2024-03-10 22:41:35
10000,10000,10000,False,2024-03-10 22:41:36
10000,10000,10000,False,2024-03-10 22:41:36
10000,10000,10000,False,2024-03-10 22:41:37
10000,10000,10000,False,2024-03-10 22:41:37
10000,10000,10000,False,2024-03-10 22:41:38
10000,1,10000,False,2024-03-10 22:43:42
10000,1,10000,False,2024-03-10 22:43:42
10000,1,10000,False,2024-03-10 22:43:43
10000,1,10000,False,2024-03-10 22:43:44
10000,1,10000,False,2024-03-10 22:43:44
10000,1,10000,False,2024-03-10 22:43:45
10000,1,10000,False,2024-03-10 22:43:45
10000,1000,10000,False,2024-03-10 22:48:09
10000,1000,10000,False,2024-03-10 22:48:09
10000,1000,10000,False,2024-03-10 22:48:10
10000,1000,10000,False,2024-03-10 22:48:10
